Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom,,,,,Size Control - filters CLICK,Size Control - filters CLICK,Size Control - filters CLICK
Sessions,Purchase revenue,Sessions,Sessions,Purchase revenue,Sessions,,,,,Purchase revenue,rps,Transactions
2262,18211.69431,377,2272,18949.3,571,,,,,4420.149998,11.7245358,68
2353,19654.96385,405,2317,19297.02051,642,,,,,6148.540002,15.18158025,87
2891,25772.29806,570,2947,20237.87748,839,,,,,7296.998054,12.80175097,115
1711,13508.9,270,1620,8989.7,363,,,,,3388.64,12.55051852,56
880,8400.749998,127,896,7893.39,191,,,,,1661,13.07874016,28
1211,9388.740002,195,1185,11738.93015,250,,,,,2139.760002,10.97312822,41
1662,17910.79,278,1712,18114.3,432,,,,,3809.280001,13.70244605,66
2525,29736.17066,476,2624,36969.62835,705,,,,,7156.56,15.03478992,135
1719,20037.60889,324,1720,20075.04,518,,,,,4446.239999,13.72296296,97
1633,21425.92,314,1545,17927.34,440,,,,,4959.660004,15.79509555,91
1207,14918.43742,224,1154,14964.96999,324,,,,,4139.42,18.47955357,84
