Control_sessions,Control_revenue,Control_custom,Variant_sessions,Variant_revenue,Variant_custom
185491,2136381.688,96535,174776,2152871.47,93651
124733,1182797.147,59151,122728,1203172.317,60096
116115,1183163.582,56172,120155,1185990.605,55974
108928,1142017.249,52013,110180,1142608.397,51254
52597,269530.5441,15485,51572,268155.6699,15161
43493,184262.9261,12157,43225,188556.0147,12257
42022,169904.9197,12496,40888,173322.753,12437
44226,231164.3772,14108,43525,224546.5337,13699
37197,213229.8798,12315,37204,211429.8403,12648
38426,204740.6856,12016,38267,207253.3507,12229
45474,258153.5269,14565,44269,256076.3019,14844
43004,282471.1651,16092,43753,288761.3698,15956
41826,260424.796,14655,41394,268319.9842,14992
36744,221962.64,12912,36230,220102.9529,12763
35163,218416.8106,12645,34476,215634.4082,12440
28826,187198.9578,10272,30027,187380.6102,10561
27695,147312.3627,8780,27346,153552.5744,8958
28998,150452.3095,9130,30612,155094.0897,9449
27593,140889.1443,9054,27212,144937.4219,9015
24610,99058.0265,7333,24892,99063.50623,7681
44244,260767.2184,17554,42715,262635.1477,17575
62870,357841.0772,26228,64974,360439.5915,26290
88784,487497.9375,37022,89562,491478.1459,37181
70421,351874.0389,26575,67699,340113.0041,26497
67828,324520.4758,25590,66312,322954.1579,25233
59077,278106.1947,21940,57570,279952.525,21963
53194,254403.6952,19755,53777,254474.7856,20016
38620,191894.5561,14658,37924,191980.7539,14141
48730,221563.2071,17540,49160,226592.283,17246
52797,263654.3549,19751,51893,274791.9275,20678
50515,243904.4383,18856,51671,245575.8449,19401
54059,266391.5844,19674,55836,263783.4739,19700
50991,272331.5968,19942,51235,278685.0817,20329
58180,323465.2753,23602,58601,324793.8602,24770
52984,292902.8502,19214,52659,289334.0951,18766
49906,253887.9226,17202,49915,254686.1549,17259
45625,219781.4843,15871,45727,221629.1307,15818
43635,180209.2605,14521,43848,191573.2765,14039
49052,220518.652,15538,48585,225198.4217,15823
43580,187309.9123,14897,43302,195736.0719,14879
