Control_sessions,Control_orders,Control_revenue,Control_custom,Variant_sessions,Variant_orders,Variant_revenue,Variant_custom
1512,178,13715.2,1512,1418,194,15185.69,1418
3643,486,34560.89,3643,3641,477,36115.12,3641
3499,412,27753.79,3499,3458,423,30169.11,3458
3114,386,31068.65,3114,3159,381,29142.9,3159
2885,342,26920.96,2885,2955,327,24333.39,2955
3387,427,32709.84,3387,3327,418,32244.32,3327
3379,403,29019.11,3379,3335,356,26727.76,3335
3281,385,28698.26,3281,3237,371,26405.25,3237
3307,377,30720.93,3307,3487,398,32051.09,3487
4388,564,45481.35,4388,4269,557,45850,4269
6906,1130,91330.35,6906,6859,1060,80012.4,6859
6751,1141,86919.74,6751,6739,1119,84576.88,6739
7727,1299,104300.59,7727,7680,1312,103524.41,7680
